Last name of the artist;First name of the artist;Sex of the artist (F/M/FM/empty);Membership in movement, if applicable;Biographical elements;Detailed address of the artist, as it appears in the catalogue;Country of the artist;State of the artist;City of the artist;Street number of the artist's address;Street name of the artist's address;Floor level of the artist's address;Local address of the artist;Additional information on the artist's address;Address as it appears in the catalogue;Country of the artist 2;State of the artist 2;City of the artist 2;Street number of the artist's address 2;Street name of the artist's address 2;Floor level of the artist's address 2;Local address of the artist 2;Additional information on the artist's address 2;Artist's nationality;Student of;Birth year;Month of birth;Day of birth;Detailed birth address of the artist, as it appears in the catalogue;Country of birth;State of birth;City of birth;Street number of the birth address;Street name of the birth address;Floor level of the birth address;Local address of birth;Additional information on the birth address;Year of death;Month of death;Day of death;Detailed death address of the artist, as it appears in the catalogue;Country of death;State of death;City of death;Street number of the death address;Street name of the death address;Floor level of the death address;Local address of death;Additional information on the death address;Notes;Number;Title of artwork;Subtitle;Translated title;Start year of creation;Start month of creation;Start day of creation;End year of creation;End month of creation;End day of creation;Country of creation;State of creation;City of creation;Dimensions;Categories;Medium;Room;Chapter of the catalogue ?;Price;Location/Owner;Owner's country;Owner's state;Owner's city;Notes
CROSS, Henri-Edmond; ; ; ;né à Douai. -4, rue Aumont Thiéville (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;200;Eza (Alpes-Maritimes). Effet de soir;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
CROSS, Henri-Edmond; ; ; ;né à Douai. -4, rue Aumont Thiéville (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;201;Paysage des environs de Monaco;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
CROSS, Henri-Edmond; ; ; ;né à Douai. -4, rue Aumont Thiéville (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;202;Une treille à Levens;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
CUVILLIER, Eugène-Henri; ; ; ;né à Paris. -32, rue Saint Pétersbourg; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;203;Portrait;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
CUVILLIER, Eugène-Henri; ; ; ;né à Paris. -32, rue Saint Pétersbourg; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;204;Étude;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
CUVILLIER, Eugène-Henri; ; ; ;né à Paris. -32, rue Saint Pétersbourg; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;205;Étude à Juan-les-Pins (Alpes;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
CUVILLIER, Eugène-Henri; ; ; ;né à Paris. -32, rue Saint Pétersbourg; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;206;Repasseuse;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
CUVILLIER, Eugène-Henri; ; ; ;né à Paris. -32, rue Saint Pétersbourg; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;207;Étude Paris;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
CUVILLIER, Eugène-Henri; ; ; ;né à Paris. -32, rue Saint Pétersbourg; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;208;Étude à Juan;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
CUVILLIER, Eugène-Henri; ; ; ;né à Paris. -32, rue Saint Pétersbourg; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;209;Chrysanthèmes;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DAGNAUX, Albert; ; ; ;né à Paris. -50, rue Saint; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;210;Le quai aux Fleurs;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DAGNAUX, Albert; ; ; ;né à Paris. -50, rue Saint; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;211;Soyers, vue du village. Effet gris;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DAGNAUX, Albert; ; ; ;né à Paris. -50, rue Saint; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;212;Soyers, La mare;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DAGNAUX, Albert; ; ; ;né à Paris. -50, rue Saint; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;213;Soyers. Les vignes;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DAGNAUX, Albert; ; ; ;né à Paris. -50, rue Saint; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;214;Soyers, nuit tombante;Pastel; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DAGNAUX, Albert; ; ; ;né à Paris. -50, rue Saint; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;215;Tête d'étude;Pastel; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DAGNAUX, Albert; ; ; ;né à Paris. -50, rue Saint; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;216;Saint-Sulpice. Effet de neige;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DAGNAUX, Albert; ; ; ;né à Paris. -50, rue Saint; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;217;Trocadéro. Effet du matin;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DAGNAUX, Albert; ; ; ;né à Paris. -50, rue Saint; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;218;Souvenir de l'Exposition;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DAGNAUX, Albert; ; ; ;né à Paris. -50, rue Saint; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;219;Souvenir de l'Exposition. Effet du soir;Pastel; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DANIEL, Georges; ; ; ;né à New-York. -55, rue du Château (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;220;Un mas à Corneilla de Conflent (Pyrénées Orientales;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DANIEL, Georges; ; ; ;né à New-York. -55, rue du Château (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;221;Une prairie;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DANIEL, Georges; ; ; ;né à New-York. -55, rue du Château (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;222;Un pré à Corneilla;appartient à M. E. J. B.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DANIEL, Georges; ; ; ;né à New-York. -55, rue du Château (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;223;Leucate (Aude;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DANIEL, Georges; ; ; ;né à New-York. -55, rue du Château (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;224;Le modèle;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DANIEL, Georges; ; ; ;né à New-York. -55, rue du Château (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;225;Fleurs;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DANIEL, Georges; ; ; ;né à New-York. -55, rue du Château (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;226;Un verger à Saint-Clément, près Corneilla;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DARVIOT, Édouard; ; ; ;né à Beaune (Côte-d'Or). -22, rue de la Tour-d'Auvergne (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;227;Un portrait;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DARVIOT, Édouard; ; ; ;né à Beaune (Côte-d'Or). -22, rue de la Tour-d'Auvergne (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;228;Le pain à la ferme;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DARVIOT, Édouard; ; ; ;né à Beaune (Côte-d'Or). -22, rue de la Tour-d'Auvergne (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;229;Huit études et impressions. Algérie et Bourgogne;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DARVIOT, Édouard; ; ; ;né à Beaune (Côte-d'Or). -22, rue de la Tour-d'Auvergne (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;230;Huit études et impressions. Algérie et Bourgogne;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DARVIOT, Édouard; ; ; ;né à Beaune (Côte-d'Or). -22, rue de la Tour-d'Auvergne (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;231;Huit études et impressions. Algérie et Bourgogne;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DARVIOT, Édouard; ; ; ;né à Beaune (Côte-d'Or). -22, rue de la Tour-d'Auvergne (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;232;Huit études et impressions. Algérie et Bourgogne;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DARVIOT, Édouard; ; ; ;né à Beaune (Côte-d'Or). -22, rue de la Tour-d'Auvergne (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;233;Huit études et impressions. Algérie et Bourgogne;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DARVIOT, Édouard; ; ; ;né à Beaune (Côte-d'Or). -22, rue de la Tour-d'Auvergne (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;234;Huit études et impressions. Algérie et Bourgogne;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DARVIOT, Édouard; ; ; ;né à Beaune (Côte-d'Or). -22, rue de la Tour-d'Auvergne (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;235;Huit études et impressions. Algérie et Bourgogne;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DARVIOT, Édouard; ; ; ;né à Beaune (Côte-d'Or). -22, rue de la Tour-d'Auvergne (Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;236;Huit études et impressions. Algérie et Bourgogne;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DAVRIGNY, Joseph; ; ; ;né à Paris. -76, rue de Passy. Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;237;Incident électoral;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DAVRIGNY, Joseph; ; ; ;né à Paris. -76, rue de Passy. Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;238;Le pont Rouge (le matin;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DAVRIGNY, Joseph; ; ; ;né à Paris. -76, rue de Passy. Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;239;Le pont Rouge (le soir;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DAVRIGNY, Joseph; ; ; ;né à Paris. -76, rue de Passy. Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;240;Sentier à Villejuif;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DAVRIGNY, Joseph; ; ; ;né à Paris. -76, rue de Passy. Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;241;Entrée de village;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DAVRIGNY, Joseph; ; ; ;né à Paris. -76, rue de Passy. Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;242;Il neige;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DAVRIGNY, Joseph; ; ; ;né à Paris. -76, rue de Passy. Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;243;La dives;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DAVRIGNY, Joseph; ; ; ;né à Paris. -76, rue de Passy. Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;244;A Villejuif;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DAVRIGNY, Joseph; ; ; ;né à Paris. -76, rue de Passy. Paris; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;245;Deux belles vieillesses;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DEBRAY, Eugène-Frédéric; ; ; ;né à Paris. -47, rue des Batignolles; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;246;Clair de lune au moulin;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DEBRAY, Eugène-Frédéric; ; ; ;né à Paris. -47, rue des Batignolles; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;247;Etude. Berneval;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DEBRAY, Eugène-Frédéric; ; ; ;né à Paris. -47, rue des Batignolles; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;248;Crépuscule;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DEBRAY, Eugène-Frédéric; ; ; ;né à Paris. -47, rue des Batignolles; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;249;Les boudeurs. Clair de lune;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DEBRAY, Eugène-Frédéric; ; ; ;né à Paris. -47, rue des Batignolles; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;250;Étude Méditerranée;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DECONCHY, Ferdinand; ; ; ;né à Paris. -15, impasse Hélène; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;251;Promenade;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DECONCHY, Ferdinand; ; ; ;né à Paris. -15, impasse Hélène; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;252;Sous bois, le matin;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DECONCHY, Ferdinand; ; ; ;né à Paris. -15, impasse Hélène; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;253;Bord de l'eau;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DECONCHY, Ferdinand; ; ; ;né à Paris. -15, impasse Hélène; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;254;Chemin Romain à Alger;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DECONCHY, Ferdinand; ; ; ;né à Paris. -15, impasse Hélène; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;255;Ferme abandonnée;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DECONCHY, Ferdinand; ; ; ;né à Paris. -15, impasse Hélène; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;256;Falaise. Soleil;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DECONCHY, Ferdinand; ; ; ;né à Paris. -15, impasse Hélène; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;257;Falaise. Temps gris;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DELACOUR, Hippolyte; ; ; ; né à Paris. -Villeneuve Garenne (Seine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;258;Bateau désemparé au plein, à Herelle, Gran ville (Manche;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DELACOUR, Hippolyte; ; ; ; né à Paris. -Villeneuve Garenne (Seine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;259;Cadre d'études, le Bout du Roc, la Grève du Nord dans le petit bassin et le port de Granville;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DELACOUR, Hippolyte; ; ; ; né à Paris. -Villeneuve Garenne (Seine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;260;Écluse du canal à Saint-Denis (Seine);; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DELACOUR, Hippolyte; ; ; ; né à Paris. -Villeneuve Garenne (Seine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;261;La vallée du Bosc à Granville (Manche;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DELACOUR, Hippolyte; ; ; ; né à Paris. -Villeneuve Garenne (Seine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;262;Dans l'avant-port de Granville;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DELACOUR, Hippolyte; ; ; ; né à Paris. -Villeneuve Garenne (Seine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;263;Falaise de Donville, près Granville;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DELACOUR, Hippolyte; ; ; ; né à Paris. -Villeneuve Garenne (Seine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;264;Cadre d'études, bords de la Seinem-N.3;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DELACOUR, Hippolyte; ; ; ; né à Paris. -Villeneuve Garenne (Seine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;265;Cadre d'études, la route de Donville, le port de Granville, quatre marines dans le bas sin de Granville;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DELACOUR, Hippolyte; ; ; ; né à Paris. -Villeneuve Garenne (Seine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;266;Cadre d'études, le bout du havre de Gran ville, trois environs de Granvillez;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DELACOUR, Hippolyte; ; ; ; né à Paris. -Villeneuve Garenne (Seine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;267;Granville, Manche;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DELANGLE, Théodore; ; ; ;né à Paris. -18 bis impasse di Maine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;268;Carrière abandonnée dans les moulineaux;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
DELANGLE, Théodore; ; ; ;né à Paris. -18 bis impasse di Maine; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;269;Effet de neige;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
